PD-173074,Bicalutamide,Embelin,5-Fluorouracil,KIN001-055,MS-275,Shikonin,Imatinib,Vorinostat,Temozolomide,Mitomycin C,Cytarabine,Phenformin,Camptothecin,Doxorubicin,Etoposide,NSC-207895,Gemcitabine,AICAR,S-Trityl-L-cysteine,Bexarotene,Cisplatin,NSC-87877,SN-38,Gefitinib,CEP-701,Methotrexate,Docetaxel,BIRB 0796,Tipifarnib,SB 216763,LY317615,Erlotinib,Lapatinib,Sorafenib,Lenalidomide,Elesclomol,Bortezomib,Cyclopamine,ATRA,Thapsigargin,T0901317,Epothilone B,MG-132,IPA-3,DMOG,piperlongumine,Nilotinib,STF-62247,CCT018159,Tubastatin A,CCT007093,Tamoxifen,FTI-277,Dasatinib,FH535,QS11,EX-527,KU-55933,Bryostatin 1,AS605240,Vinorelbine,GNF-2,Bosutinib,Sunitinib,PD-0332991,Bleomycin,Bleomycin (50 uM),Salubrinal,LAQ824,EKB-569,Axitinib,Ispinesib Mesylate,17-AAG,Vinblastine,PIK-93,FK866,Temsirolimus,CI-1040,Belinostat,AR-42,Parthenolide,RO-3306,A-770041,Y-39983,BMS345541,PD-0325901,Midostaurin,SB 505124,(5Z)-7-Oxozeaenol,OSI-930,CP724714,PI-103,TPCA-1,TGX221,Zibotentan,Tivozanib,ZM-447439,AG-014699,EHT 1864,GW 441756,TAK-715,CHIR-99021,YM201636,SB52334,OSU-03012,Masitinib,BX-795,AS601245,Pazopanib,selumetinib,Afatinib,BAY 61-3606,Saracatinib,VX-702,681640,SL 0101-1,PHA-665752,AZD7762,YM155,MP470,NU-7441,AT-7519,GSK429286A,Obatoclax Mesylate,Nutlin-3a (-),TW 37,Linifanib,FR-180204,JNJ-26854165,GW-2580,JNK Inhibitor VIII,CAL-101,Crizotinib,KIN001-135,VX-11e,Linsitinib,ZSTK474,AMG-706,AZ628,Trametinib,PF-562271,BX-912,WH-4-023,Veliparib,BEZ235,TAE684,GSK269962A,CMK,MLN4924,TG101348,GSK690693,BHG712,Z-LLNle-CHO,GDC0941,BMS-509744,OSI-027,Olaparib,PLX4720,CUDC-101,SNX-2112,GDC0449,BMS-754807,AP-24534,AC220,VNLG/124,CAY10603,Navitoclax,GSK-650394,XL-184,GSK1904529A,Ruxolitinib,GSK2126458,MPS-1-IN-1,JNK-9L,CX-5461,AZD8055,Foretinib,AZD6482,KIN001-266,RDEA119,Dabrafenib,CP466722,YK 4-279,PHA-793887,UNC0638,XMD8-92,XMD8-85,BMS-708163,GSK1070916,JQ1,MK-2206,I-BET-762,CH5424802,WZ-1-84,JW-7-52-1,HG-6-64-1,NG-25,LFM-A13,IOX2,SGC0946,KIN001-244,UNC1215,ZG-10,KIN001-270,PFI-1,QL-XII-47,QL-X-138,Cetuximab,AKT inhibitor VIII,XAV939,PAC-1,SB590885,BMS-536924,KIN001-260,AUY922,Talazoparib,BIX02189
THBS1,KRT19,THBS1,KRT19,THBS1,THBS1,SPINT2,THBS1,KRT19,THBS1,THBS1,THBS1,KRT19,COL18A1,THBS1,SPINT2,THBS1,THBS1,KRT19,THBS1,COL18A1,THBS1,THBS1,THBS1,KRT19,KRT19,KRT19,COL18A1,KRT19,SPINT2,KRT19,THBS1,SPINT2,THBS1,THBS1,THBS1,COL18A1,THBS1,THBS1,SPINT2,SPINT2,THBS1,THBS1,SPINT2,THBS1,THBS1,COL18A1,THBS1,THBS1,THBS1,KRT19,THBS1,THBS1,KRT19,SPINT2,THBS1,THBS1,THBS1,THBS1,THBS1,THBS1,THBS1,THBS1,SPINT2,SPINT2,THBS1,SPINT2,COL18A1,THBS1,KRT19,KRT19,KRT19,KRT19,KRT19,THBS1,KRT19,KRT19,THBS1,THBS1,KRT19,KRT19,SPINT2,KRT19,THBS1,KRT19,KRT19,KRT19,COL18A1,THBS1,COL18A1,KRT19,SPINT2,KRT19,KRT19,THBS1,THBS1,THBS1,THBS1,COL18A1,RNF187,KRT19,KRT19,THBS1,KRT19,THBS1,SPINT2,KRT19,THBS1,THBS1,THBS1,KRT19,KRT19,THBS1,THBS1,THBS1,THBS1,THBS1,THBS1,COL18A1,THBS1,KRT19,THBS1,KRT19,KRT19,THBS1,SPINT2,KRT19,THBS1,THBS1,THBS1,THBS1,KRT19,THBS1,THBS1,THBS1,THBS1,THBS1,THBS1,KRT19,THBS1,KRT19,THBS1,KRT19,SPINT2,THBS1,THBS1,SPINT2,KRT19,THBS1,SPINT2,KRT19,KRT19,THBS1,SPINT2,THBS1,SPINT2,KRT19,THBS1,THBS1,KRT19,KRT19,SPINT2,THBS1,SPINT2,THBS1,THBS1,KRT19,THBS1,THBS1,SPINT2,KRT19,THBS1,KRT19,KRT19,THBS1,KRT19,KRT19,THBS1,COL18A1,THBS1,KRT19,THBS1,KRT19,SPINT2,KRT19,KRT19,SPINT2,THBS1,THBS1,KRT19,THBS1,SPINT2,KRT19,THBS1,THBS1,SPINT2,THBS1,THBS1,THBS1,KRT19,KRT19,KRT19,THBS1,SPINT2,THBS1,THBS1,THBS1,KRT19,KRT19,KRT19,KRT19,THBS1,THBS1,RNF187,KRT19,THBS1,THBS1,THBS1
SPINT2,THBS1,KRT19,THBS1,KRT19,SPINT2,VIM,KRT19,THBS1,KRT19,KRT19,SPINT2,THBS1,THBS1,SPINT2,THBS1,KRT19,KRT19,THBS1,SPINT2,THBS1,KRT19,KRT19,SPINT2,THBS1,THBS1,THBS1,KRT19,THBS1,VIM,THBS1,KRT19,VIM,KRT19,KRT19,KRT19,THBS1,SPINT2,SPINT2,THBS1,THBS1,KRT19,KRT19,THBS1,KRT19,PEA15,COL6A2,POLR2A,KRT19,SPINT2,THBS1,KRT19,KRT19,THBS1,THBS1,SPINT2,SPINT2,KRT19,KRT19,KRT19,KRT19,SPINT2,KRT19,VIM,THBS1,SPINT2,THBS1,KRT19,SPINT2,THBS1,THBS1,THBS1,THBS1,COL18A1,KRT19,THBS1,THBS1,COL18A1,KRT19,THBS1,THBS1,THBS1,THBS1,KRT19,THBS1,THBS1,THBS1,THBS1,KRT19,COL6A2,THBS1,THBS1,THBS1,THBS1,KRT19,KRT19,KRT19,KRT19,KRT19,CRIP2,THBS1,THBS1,KRT19,THBS1,KRT19,THBS1,THBS1,COL18A1,KRT19,KRT19,THBS1,COL18A1,SPINT2,SPINT2,SPINT2,KRT19,KRT19,KRT19,THBS1,KRT19,THBS1,KRT19,THBS1,THBS1,KRT19,THBS1,THBS1,KRT19,SPINT2,KRT19,KRT19,THBS1,SPINT2,SPINT2,KRT19,KRT19,KRT19,KRT19,THBS1,SPINT2,COL18A1,KRT19,THBS1,THBS1,KRT19,KRT19,VIM,THBS1,SPINT2,THBS1,THBS1,THBS1,KRT19,VIM,KRT19,THBS1,THBS1,SPINT2,KRT19,THBS1,THBS1,THBS1,KRT19,THBS1,KRT19,SPINT2,THBS1,KRT19,KRT19,THBS1,THBS1,SPINT2,THBS1,THBS1,SPINT2,THBS1,THBS1,KRT19,KRT19,SPINT2,THBS1,KRT19,THBS1,THBS1,THBS1,THBS1,THBS1,SPINT2,KRT19,THBS1,SPINT2,THBS1,THBS1,SPINT2,SPINT2,VIM,KRT19,KRT19,KRT19,THBS1,THBS1,THBS1,KRT19,THBS1,KRT19,KRT19,KRT19,THBS1,THBS1,THBS1,THBS1,KRT19,KRT19,SPINT2,THBS1,SPINT2,COL18A1,KRT19
COL1A1,COL18A1,PEA15,ASPH,PEA15,COL1A1,THBS1,SPINT2,ASPH,COL18A1,PEA15,COL1A1,COL18A1,KRT19,COL1A1,COL1A1,PEA15,PEA15,COL18A1,COL1A1,KRT19,COL18A1,COL18A1,COL1A1,COL18A1,COL18A1,ASPH,THBS1,COL18A1,THBS1,COL18A1,COL18A1,THBS1,PEA15,SPINT2,PEA15,KRT19,COL1A1,COL1A1,COL1A1,VIM,COL18A1,PEA15,COL1A1,SPINT2,COL1A1,THBS1,SPINT2,PEA15,COL1A1,MGAT4B,COL18A1,SPINT2,MGAT4B,COL1A1,COL1A1,COL1A1,PEA15,PEA15,COL18A1,PEA15,KRT19,PEA15,THBS1,COL1A1,COL1A1,COL1A1,THBS1,KRT19,ASPH,COL18A1,COL18A1,ASPH,THBS1,PEA15,MGAT4B,ASPH,KRT19,COL18A1,ASPH,ASPH,VIM,COL18A1,PEA15,MGAT4B,ASPH,COL18A1,KRT19,PEA15,THBS1,ASPH,COL1A1,ASPH,ASPH,PEA15,PEA15,PEA15,PEA15,THBS1,DDX5,COL18A1,COL18A1,COL18A1,ASPH,COL18A1,VIM,COL18A1,KRT19,COL18A1,COL18A1,COL18A1,THBS1,COL1A1,COL1A1,COL1A1,PEA15,COL18A1,PEA15,KRT19,COL18A1,ASPH,COL18A1,ASPH,COL18A1,PEA15,COL1A1,COL18A1,PEA15,COL1A1,COL18A1,COL18A1,ASPH,KRT19,COL1A1,PEA15,COL18A1,PEA15,COL18A1,COL18A1,COL1A1,THBS1,PEA15,ASPH,COL1A1,PEA15,PEA15,THBS1,COL18A1,COL1A1,COL1A1,ASPH,COL18A1,COL18A1,THBS1,SPINT2,VIM,ASPH,COL1A1,PEA15,ASPH,ASPH,VIM,PEA15,VIM,SPINT2,COL1A1,ASPH,COL18A1,PEA15,VIM,COL18A1,RNF187,MGAT4B,MGAT4B,COL1A1,COL18A1,ASPH,PEA15,THBS1,RNF187,COL18A1,PEA15,ASPH,COL1A1,MGAT4B,MGAT4B,VIM,KRT19,COL18A1,COL18A1,COL1A1,VIM,ASPH,PEA15,KRT19,THBS1,COL18A1,ASPH,COL18A1,ASPH,COL18A1,COL18A1,COL18A1,COL1A1,PEA15,PEA15,COL18A1,COL18A1,ASPH,ASPH,ASPH,SPINT2,PEA15,CRIP2,MGAT4B,COL1A1,KRT19,COL18A1
PEA15,MGAT4B,COL18A1,MGAT4B,COL1A1,VIM,COL1A1,PEA15,MGAT4B,PEA15,COL1A1,MUC16,MGAT4B,COL6A2,PEA15,MUC16,COL18A1,COL18A1,MGAT4B,MUC16,COL6A2,PEA15,PEA15,MUC16,MGAT4B,MGAT4B,MGAT4B,COL6A2,MGAT4B,COL1A1,MGAT4B,PEA15,COL1A1,COL1A1,PEA15,COL1A1,COL6A2,MUC16,MUC16,MUC16,COL1A1,MGAT4B,COL1A1,MUC16,PEA15,SPINT2,KRT19,VIM,COL18A1,MUC16,COL18A1,MGAT4B,PEA15,ASPH,MUC16,VIM,MUC16,SPINT2,SPINT2,MGAT4B,COL18A1,PEA15,COL1A1,COL1A1,MUC16,MUC16,MUC16,COL6A2,COL1A1,MGAT4B,MGAT4B,PEA15,MGAT4B,MGAT4B,COL18A1,ASPH,MGAT4B,PEA15,MGAT4B,MGAT4B,MGAT4B,COL1A1,MGAT4B,SPINT2,COL18A1,CRIM1,MGAT4B,COL6A2,COL18A1,DCBLD2,MGAT4B,VIM,MGAT4B,MGAT4B,SPINT2,COL18A1,SPINT2,COL1A1,LTBP3,THBS3,MGAT4B,MGAT4B,PEA15,MGAT4B,MGAT4B,COL1A1,MGAT4B,PEA15,PEA15,PEA15,MGAT4B,MGAT4B,POLR2A,PEA15,MUC16,ASPH,PEA15,COL1A1,COL6A2,PEA15,MGAT4B,PEA15,MGAT4B,PEA15,SPINT2,MUC16,PEA15,COL18A1,PEA15,PEA15,MGAT4B,MGAT4B,PEA15,MUC16,COL1A1,MGAT4B,SPINT2,PEA15,MGAT4B,PEA15,MGAT4B,COL1A1,MGAT4B,VIM,COL1A1,COL18A1,COL1A1,MGAT4B,PEA15,VIM,MGAT4B,MGAT4B,PEA15,COL1A1,PEA15,COL1A1,MGAT4B,MUC16,COL1A1,MGAT4B,MGAT4B,COL1A1,COL1A1,COL1A1,PEA15,PEA15,COL18A1,MGAT4B,SPINT2,COL1A1,MGAT4B,CRIP2,COL18A1,ASPH,VIM,MGAT4B,MGAT4B,COL1A1,COL6A2,COL1A1,MGAT4B,COL18A1,MGAT4B,MUC16,ASPH,COL18A1,COL1A1,COL1A1,PEA15,MGAT4B,MUC16,COL1A1,MGAT4B,KRT19,COL1A1,COL1A1,PEA15,MGAT4B,MGAT4B,MGAT4B,MGAT4B,MGAT4B,PEA15,MUC16,COL18A1,COL18A1,MGAT4B,MGAT4B,MGAT4B,MGAT4B,MGAT4B,PEA15,COL1A1,ADPGK,ASPH,MUC16,PEA15,MGAT4B
MUC16,PEA15,COL1A1,COL18A1,COL18A1,MUC16,MUC16,COL1A1,COL18A1,MGAT4B,SPINT2,EFEMP1,PEA15,PEA15,KRT19,VIM,MGAT4B,COL1A1,PEA15,VIM,DCBLD2,MGAT4B,MGAT4B,PEA15,PEA15,PEA15,CRIM1,LTBP3,ASPH,MUC16,PEA15,MGAT4B,MUC16,COL18A1,COL1A1,SPINT2,DCBLD2,EFEMP1,EFEMP1,VIM,MUC16,PEA15,SPINT2,VIM,COL1A1,KRT19,DCBLD2,COL1A1,COL1A1,PEA15,ASPH,PEA15,COL1A1,COL18A1,EFEMP1,MUC16,PEA15,COL1A1,COL1A1,PEA15,COL1A1,COL1A1,SPINT2,MUC16,VIM,PEA15,EFEMP1,LTBP3,PEA15,COL18A1,PEA15,MGAT4B,COL18A1,LTBP3,COL1A1,COL18A1,COL18A1,COL1A1,PEA15,COL18A1,COL18A1,MUC16,PEA15,COL1A1,ASPH,MGAT4B,PEA15,DCBLD2,COL1A1,COL1A1,COL18A1,MUC16,CRIM1,COL18A1,COL1A1,MGAT4B,COL1A1,COL18A1,COL6A2,ADPGK,PEA15,PEA15,MGAT4B,COL18A1,PEA15,MUC16,ASPH,DCBLD2,MGAT4B,MGAT4B,PEA15,PEA15,MUC16,KRT19,VIM,MGAT4B,MGAT4B,COL18A1,PEA15,MGAT4B,CRIM1,MGAT4B,COL18A1,MGAT4B,COL1A1,EFEMP1,MGAT4B,MGAT4B,MUC16,COL1A1,PEA15,COL18A1,COL1A1,PEA15,SPINT2,PEA15,COL1A1,MGAT4B,ASPH,KRT19,LTBP3,COL18A1,COL18A1,MUC16,SPINT2,COL1A1,MUC16,PEA15,MUC16,MUC16,COL18A1,PEA15,MGAT4B,MUC16,COL1A1,MUC16,COL18A1,PEA15,SPINT2,COL18A1,COL18A1,MUC16,FBLN1,MUC16,COL1A1,KRT19,MGAT4B,PEA15,COL1A1,MUC16,ASPH,ADPGK,ASPH,COL18A1,MUC16,PEA15,CRIM1,COL18A1,PEA15,CRIP2,PEA15,COL1A1,COL18A1,EFEMP1,COL18A1,ASPH,MUC16,PEA15,MGAT4B,ASPH,PEA15,MUC16,COL18A1,COL1A1,PEA15,POLR2A,MGAT4B,COL18A1,PEA15,COL18A1,PEA15,PEA15,MGAT4B,EFEMP1,COL1A1,MGAT4B,PEA15,PEA15,COL18A1,COL18A1,COL18A1,COL1A1,SPINT2,DDX5,COL18A1,PEA15,COL1A1,PEA15
KRT19,LTBP3,MUC16,CRIM1,FBLN1,EFEMP1,COL1A2,MUC16,CRIM1,COL1A1,MUC16,PEA15,ASPH,DCBLD2,MUC16,EFEMP1,COL1A1,MUC16,LTBP3,EFEMP1,PEA15,COL1A1,COL1A1,EFEMP1,LTBP3,LTBP3,COL18A1,MGAT4B,PEA15,COL1A2,LTBP3,COL1A1,POLR2A,FBLN1,MUC16,FBLN1,PEA15,COL1A2,PEA15,EFEMP1,EFEMP1,ASPH,MUC16,EFEMP1,MUC16,MUC16,COL1A1,KRT19,MGAT4B,EFEMP1,CRIM1,LTBP3,MUC16,CRIM1,VIM,PEA15,KRT19,FBLN1,FBLN1,LTBP3,MGAT4B,MUC16,FBLN1,COL1A2,EFEMP1,EFEMP1,VIM,PEA15,MUC16,CRIM1,ASPH,COL1A1,CRIM1,PEA15,SPINT2,CRIM1,CRIM1,COL6A2,COL1A1,CRIM1,CRIM1,EFEMP1,LTBP3,FBLN1,PEA15,COL18A1,ASPH,PEA15,FBLN1,KRT19,CRIM1,EFEMP1,COL18A1,CRIM1,MUC16,ASPH,MUC16,MUC16,PEA15,ACTB,COL1A1,ASPH,LTBP3,CRIM1,LTBP3,POLR2A,PEA15,COL1A1,COL1A1,COL1A1,LTBP3,LTBP3,KRT19,FBLN1,EFEMP1,COL18A1,COL1A1,FBLN1,LTBP3,COL1A1,COL18A1,COL1A1,CRIM1,COL1A1,FBLN1,VIM,LTBP3,COL1A1,KRT19,MGAT4B,LTBP3,CRIM1,MUC16,KRT19,FBLN1,LTBP3,FBLN1,COL1A1,CRIM1,MUC16,PEA15,FBLN1,CRIM1,EFEMP1,COL18A1,MUC16,EFEMP1,LTBP3,KRT19,EFEMP1,CRIM1,LTBP3,COL1A1,COL1A2,MUC16,EFEMP1,CRIM1,EFEMP1,FBLN1,CRIM1,CRIM1,COL1A2,SPINT2,EFEMP1,MUC16,MUC16,CRIM1,LTBP3,MUC16,COL1A2,CRIM1,COL1A1,PEA15,CRIM1,EFEMP1,LTBP3,COL18A1,SPINT2,DCBLD2,ADPGK,LTBP3,MGAT4B,CRIM1,DCBLD2,CRIM1,PEA15,EFEMP1,MUC16,COL1A1,PEA15,EFEMP1,EFEMP1,CRIM1,MUC16,MUC16,MUC16,COL1A1,CRIM1,COL1A1,CRIM1,LTBP3,LTBP3,COL1A1,VIM,MGAT4B,COL1A1,COL1A1,LTBP3,CRIM1,CRIM1,CRIM1,MUC16,COL18A1,ACTB,CRIM1,EFEMP1,DCBLD2,COL1A1
FBLN1,COL1A1,SPINT2,CTTN,SPINT2,POLR2A,EFEMP1,FBLN1,CTTN,LTBP3,EFEMP1,DCBLD2,CRIM1,COL1A1,FBLN1,COL1A2,ASPH,FBLN1,COL1A1,PEA15,COL1A1,LTBP3,LTBP3,DCBLD2,ASPH,COL1A1,CTTN,PEA15,CRIM1,POLR2A,COL6A2,LTBP3,COL1A2,MUC16,FBLN1,MUC16,COL1A1,VIM,VIM,COL1A2,COL1A2,LTBP3,COL18A1,COL1A2,FBLN1,DCBLD2,PEA15,MUC16,FBLN1,DCBLD2,PEA15,COL1A1,FBLN1,CTTN,COL1A2,EFEMP1,EFEMP1,MUC16,MUC16,COL1A1,MUC16,FBLN1,MUC16,EFEMP1,COL1A2,FBLN1,COL1A2,MGAT4B,FBLN1,PEA15,COL1A1,MUC16,CTTN,COL6A2,DCBLD2,PEA15,CTTN,DCBLD2,LTBP3,CTTN,CTTN,COL1A2,ASPH,MUC16,CRIM1,CTTN,LTBP3,COL1A1,MGAT4B,PEA15,CTTN,COL1A2,CTTN,CTTN,FBLN1,CRIM1,FBLN1,FBLN1,MGAT4B,SFPQ,LTBP3,LTBP3,COL1A1,CTTN,COL1A1,EFEMP1,CRIM1,COL6A2,LTBP3,LTBP3,ASPH,COL6A2,PEA15,MUC16,PEA15,CRIM1,MUC16,SPINT2,DCBLD2,ASPH,CTTN,FBLN1,CTTN,LTBP3,MUC16,COL1A2,COL1A1,ASPH,FBLN1,MUC16,COL1A1,CTTN,FBLN1,FBLN1,MUC16,COL1A1,MUC16,LTBP3,PEA15,EFEMP1,COL6A2,MGAT4B,CTTN,COL1A2,MUC16,SPINT2,COL1A2,COL1A1,FBLN1,COL1A2,CTTN,COL1A1,ASPH,EFEMP1,FBLN1,COL1A2,CTTN,KRT19,COL18A1,CTTN,CTTN,EFEMP1,MUC16,COL1A2,FBLN1,FBLN1,CTTN,COL1A1,EFEMP1,EFEMP1,PEA15,ACTB,CRIM1,PEA15,PEA15,ASPH,CTTN,MUC16,LTBP3,ACTB,COL6A2,MUC16,CTTN,PEA15,CTTN,CRIM1,COL1A2,FBLN1,LTBP3,LTBP3,FBLN1,COL1A2,CTTN,FBLN1,FBLN1,COL1A2,ASPH,PEA15,LTBP3,CTTN,COL1A1,COL1A1,LTBP3,COL1A2,MUC16,MUC16,LTBP3,ASPH,CTTN,CTTN,CTTN,FBLN1,MUC16,SFPQ,PEA15,FBLN1,COL6A2,LTBP3
EFEMP1,COL6A2,EFEMP1,PEA15,MUC16,PEA15,POLR2A,EFEMP1,PEA15,MUC16,FBLN1,COL1A2,LTBP3,LTBP3,EFEMP1,DBN1,FBLN1,SPINT2,COL6A2,FBLN1,LTBP3,ASPH,MUC16,COL1A2,COL6A2,COL6A2,PEA15,DCBLD2,CTTN,EFEMP1,COL1A1,COL6A2,EFEMP1,SPINT2,EFEMP1,COL18A1,LTBP3,POLR2A,COL1A2,PEA15,DBN1,COL1A1,EFEMP1,EVPL,EFEMP1,EFEMP1,LTBP3,FBLN1,MUC16,COL1A2,CTTN,COL6A2,EFEMP1,PEA15,PEA15,FBLN1,FBLN1,EFEMP1,EFEMP1,COL6A2,FBLN1,EFEMP1,EFEMP1,EVPL,MUC1,DCBLD2,PEA15,DCBLD2,EFEMP1,CTTN,LTBP3,LTBP3,PEA15,COL1A1,MUC16,CTTN,PEA15,LTBP3,ASPH,PEA15,PEA15,EVPL,COL6A2,EFEMP1,CTTN,PEA15,COL1A1,SPINT2,SPINT2,SPINT2,PEA15,EVPL,PEA15,PEA15,EFEMP1,COL1A1,EFEMP1,SPINT2,COL1A1,HSP90AB1,COL6A2,CRIM1,COL6A2,PEA15,COL6A2,COL1A2,CTTN,LTBP3,MUC16,ASPH,COL1A1,COL1A1,FBLN1,POLR2A,FBLN1,COL1A1,COL6A2,MUC16,COL1A1,LTBP3,PEA15,ASPH,PEA15,COL6A2,EFEMP1,EVPL,COL6A2,FBLN1,EFEMP1,FBLN1,COL6A2,PEA15,EFEMP1,EFEMP1,COL18A1,ASPH,EFEMP1,FBLN1,CTTN,FBLN1,COL1A1,MUC16,PEA15,PEA15,EFEMP1,MGAT4B,EVPL,COL6A2,EFEMP1,EVPL,PEA15,COL6A2,LTBP3,POLR2A,EFEMP1,FBLN1,PEA15,FBLN1,MUC16,PEA15,PEA15,FBLN1,EFEMP1,MUC1,EFEMP1,EFEMP1,PEA15,COL6A2,FBLN1,POLR2A,CTTN,SFPQ,CTTN,CTTN,FBLN1,COL1A1,PEA15,EFEMP1,COL1A1,SFPQ,COL1A1,COL6A2,PEA15,COL1A2,PEA15,CTTN,POLR2A,EFEMP1,COL6A2,CRIM1,VIM,POLR2A,PEA15,EFEMP1,EFEMP1,EFEMP1,FBLN1,CTTN,ASPH,PEA15,COL6A2,ASPH,COL6A2,PEA15,FBLN1,FBLN1,FBLN1,COL1A1,PEA15,PEA15,PEA15,EFEMP1,FBLN1,THBS3,CTTN,COL1A2,SPINT2,ASPH
COL1A2,DCBLD2,DCBLD2,LTBP3,MGAT4B,FBLN1,EVPL,COL1A2,LTBP3,COL6A2,COL18A1,FBLN1,COL1A1,MUC16,COL1A2,EVPL,CRIM1,EFEMP1,DCBLD2,COL1A2,MUC16,FBLN1,COL6A2,COL6A2,COL1A1,DCBLD2,PTMS,COL1A1,LTBP3,MUC1,ASPH,DCBLD2,MUC1,MGAT4B,COL1A2,EFEMP1,MUC16,PEA15,FBLN1,FBLN1,EVPL,CRIM1,FBLN1,DBN1,COL1A2,COL18A1,AHNAK,EFEMP1,SPINT2,FBLN1,LTBP3,ASPH,COL1A2,LTBP3,MUC1,POLR2A,COL1A2,COL1A2,COL1A2,DCBLD2,EFEMP1,COL1A2,COL1A2,POLR2A,EVPL,COL1A2,MUC1,COL1A1,COL1A2,LTBP3,CRIM1,FBLN1,LTBP3,DCBLD2,COL6A2,LTBP3,LTBP3,MUC16,COL6A2,LTBP3,LTBP3,DBN1,COL1A1,COL18A1,COL1A1,PTMS,CRIM1,LTBP3,MUC16,CALD1,FBLN1,DBN1,PTMS,LTBP3,COL18A1,FBLN1,COL1A2,EFEMP1,DCBLD2,PSMD2,DCBLD2,COL6A2,DCBLD2,LTBP3,ASPH,FBLN1,COL1A1,MUC16,COL6A2,COL6A2,COL6A2,ASPH,EFEMP1,EFEMP1,COL1A2,FBLN1,LTBP3,MGAT4B,MGAT4B,FBLN1,FBLN1,LTBP3,FBLN1,DCBLD2,COL18A1,MUC1,DCBLD2,LTBP3,COL1A2,SPINT2,DCBLD2,LTBP3,COL1A2,POLR2A,EFEMP1,COL6A2,COL18A1,ASPH,LTBP3,COL1A2,DCBLD2,SPINT2,LTBP3,FBLN1,FBLN1,EFEMP1,MUC1,ASPH,COL1A2,MUC1,LTBP3,ASPH,CRIM1,MUC1,COL1A2,POLR2A,LTBP3,DCBLD2,EFEMP1,LTBP3,LTBP3,POLR2A,COL18A1,EVPL,COL1A2,COL1A2,LTBP3,ASPH,COL18A1,FBLN1,LTBP3,DDX5,COL1A1,LTBP3,POLR2A,CRIM1,FBLN1,FBLN1,MGAT4B,DDX5,ASPH,SPINT2,LTBP3,MUC1,LTBP3,LTBP3,FBLN1,POLR2A,DCBLD2,CTTN,COL1A2,PEA15,LTBP3,COL1A2,POLR2A,KRT19,LTBP3,FBLN1,FBLN1,LTBP3,ASPH,COL6A2,FBLN1,MUC1,SPINT2,LTBP3,COL6A2,COL6A2,LTBP3,LTBP3,LTBP3,COL1A2,EFEMP1,SWAP70,FBLN1,DCBLD2,MUC16,COL6A2
DCBLD2,ASPH,COL6A2,FBLN1,EFEMP1,COL1A2,MUC1,COL18A1,PTMS,FBLN1,DCBLD2,MUC1,CTTN,SPINT2,DCBLD2,MUC1,LTBP3,MGAT4B,MUC16,KRT19,SPINT2,COL6A2,FBLN1,KRT19,CRIM1,MUC16,LTBP3,AHNAK,COL6A2,KRT7,DCBLD2,MUC16,EVPL,EFEMP1,POLR2A,MGAT4B,SPINT2,FBLN1,MUC1,MUC1,KRT7,COL6A2,DCBLD2,MUC1,DCBLD2,COL6A2,CALD1,CTTN,EFEMP1,KRT19,COL6A2,DCBLD2,COL18A1,COL6A2,FBLN1,KRT19,VIM,POLR2A,COL18A1,MUC16,SPINT2,DCBLD2,COL18A1,MUC1,KRT7,KRT19,FBLN1,AHNAK,DCBLD2,FBLN1,FBLN1,COL6A2,FBLN1,AHNAK,EFEMP1,FBLN1,COL6A2,EFEMP1,DCBLD2,PTMS,PTMS,KRT7,CRIM1,COL1A2,FBLN1,FBLN1,COL6A2,MUC16,EFEMP1,MUC16,LTBP3,KRT7,FBLN1,FBLN1,COL1A2,CTTN,COL18A1,MGAT4B,MUC16,LMNB2,MUC16,COL1A1,MUC16,FBLN1,FBLN1,PEA15,LTBP3,SPINT2,FBLN1,FBLN1,CRIM1,DCBLD2,COL1A2,COL1A2,KRT19,CTTN,DCBLD2,EFEMP1,MUC16,CRIM1,LTBP3,MUC16,LTBP3,MUC16,COL1A2,DBN1,MUC16,CRIM1,POLR2A,EFEMP1,MUC16,COL6A2,POLR2A,VIM,MGAT4B,CRIM1,COL1A2,MUC16,COL6A2,DCBLD2,AHNAK,EFEMP1,FBLN1,POLR2A,DCBLD2,FBLN1,KRT7,DCBLD2,VIM,KRT7,COL6A2,CRIM1,FBLN1,KRT7,POLR2A,PEA15,COL6A2,COL1A2,MGAT4B,COL6A2,FBLN1,PEA15,ASPH,KRT7,COL18A1,DCBLD2,COL6A2,FBLN1,DCBLD2,PEA15,COL6A2,SWAP70,FBLN1,FBLN1,COL1A2,COL6A2,COL1A1,DCBLD2,MUC16,MUC16,DCBLD2,DCBLD2,FBLN1,EVPL,COL6A2,FBLN1,MUC1,COL1A2,FBLN1,COL6A2,KRT19,FBLN1,COL6A2,DCBLD2,COL1A2,MUC1,MUC16,COL1A1,COL6A2,COL6A2,DCBLD2,CRIM1,MUC16,FBLN1,EFEMP1,SPINT2,MUC16,CRIM1,COL6A2,PTMS,PTMS,COL18A1,DCBLD2,THBS1,COL1A1,MUC1,EFEMP1,FBLN1
