pairs,true,predict
"(97, 293)",1,1
"(157, 259)",1,1
"(53, 274)",1,1
"(180, 363)",1,1
"(89, 402)",1,1
"(79, 310)",1,1
"(76, 262)",1,1
"(24, 405)",1,1
"(9, 393)",1,0
"(106, 312)",1,1
"(196, 247)",1,1
"(142, 316)",1,1
"(156, 223)",1,1
"(1, 331)",1,1
"(183, 266)",1,1
"(30, 331)",1,1
"(123, 292)",1,1
"(24, 282)",1,1
"(203, 278)",1,1
"(138, 461)",1,1
"(210, 392)",1,1
"(199, 319)",1,1
"(98, 240)",1,1
"(28, 474)",1,1
"(31, 333)",1,1
"(160, 330)",1,1
"(156, 331)",1,1
"(197, 229)",1,1
"(215, 430)",1,1
"(111, 392)",1,1
"(26, 384)",1,1
"(20, 480)",1,1
"(24, 401)",1,1
"(108, 248)",1,1
"(59, 369)",1,1
"(110, 461)",1,1
"(73, 326)",1,1
"(138, 353)",1,1
"(86, 256)",1,1
"(13, 330)",1,1
"(106, 476)",1,1
"(70, 348)",1,1
"(110, 429)",1,1
"(216, 359)",1,1
"(59, 474)",1,1
"(108, 273)",1,1
"(188, 331)",1,1
"(24, 248)",1,1
"(87, 405)",1,0
"(150, 388)",1,1
"(116, 330)",1,1
"(83, 353)",1,1
"(27, 405)",1,1
"(80, 323)",1,1
"(189, 388)",1,1
"(86, 294)",1,1
"(1, 479)",1,1
"(24, 367)",1,1
"(80, 262)",1,1
"(72, 312)",1,1
"(142, 369)",1,0
"(25, 344)",1,1
"(120, 241)",1,1
"(93, 316)",1,1
"(200, 293)",1,1
"(156, 273)",1,1
"(92, 223)",1,1
"(67, 364)",1,1
"(102, 348)",1,1
"(100, 225)",1,1
"(184, 323)",1,1
"(69, 247)",1,1
"(150, 264)",1,1
"(180, 483)",1,1
"(172, 353)",1,1
"(159, 294)",1,1
"(27, 238)",1,1
"(217, 256)",1,1
"(71, 375)",1,1
"(97, 330)",1,0
"(24, 225)",1,1
"(202, 353)",1,1
"(9, 338)",1,0
"(94, 229)",1,1
"(46, 468)",1,1
"(196, 249)",1,1
"(3, 406)",1,1
"(202, 397)",1,1
"(75, 432)",1,1
"(110, 400)",1,1
"(188, 264)",1,0
"(200, 461)",1,1
"(76, 275)",1,1
"(107, 266)",1,1
"(42, 273)",1,1
"(76, 480)",1,1
"(47, 342)",1,0
"(85, 317)",1,1
"(159, 240)",1,1
"(138, 280)",1,1
"(131, 484)",1,1
"(73, 331)",1,0
"(132, 264)",1,0
"(8, 293)",1,1
"(147, 266)",1,1
"(33, 264)",1,1
"(216, 294)",1,1
"(142, 285)",1,0
"(207, 256)",1,1
"(92, 388)",1,1
"(93, 237)",1,0
"(1, 484)",1,1
"(173, 330)",1,1
"(150, 465)",1,1
"(131, 372)",1,1
"(116, 293)",1,1
"(107, 297)",1,1
"(4, 474)",1,1
"(55, 232)",1,0
"(5, 485)",1,1
"(208, 372)",1,1
"(170, 440)",1,0
"(151, 483)",1,1
"(0, 243)",1,1
"(74, 397)",1,1
"(166, 397)",1,1
"(110, 225)",1,1
"(189, 312)",1,1
"(185, 401)",1,1
"(77, 479)",1,0
"(175, 363)",1,1
"(67, 437)",1,1
"(109, 246)",1,1
"(24, 299)",1,1
"(3, 245)",1,1
"(69, 290)",1,1
"(8, 375)",1,1
"(110, 392)",1,1
"(131, 295)",1,1
"(199, 246)",1,1
"(101, 344)",1,1
"(76, 333)",1,1
"(65, 303)",1,1
"(150, 412)",1,1
"(115, 484)",1,1
"(178, 484)",1,1
"(192, 256)",1,1
"(140, 412)",1,1
"(92, 476)",1,1
"(79, 316)",1,1
"(16, 368)",1,0
"(208, 422)",1,1
"(72, 241)",1,1
"(58, 446)",1,1
"(210, 297)",1,1
"(30, 303)",1,1
"(160, 351)",1,1
"(208, 485)",1,1
"(212, 258)",1,0
"(131, 474)",1,1
"(62, 343)",1,1
"(86, 267)",1,1
"(156, 264)",1,1
"(147, 434)",1,1
"(27, 274)",1,1
"(73, 256)",1,1
"(31, 372)",1,1
"(125, 359)",1,1
"(79, 339)",1,1
"(1, 273)",1,0
"(31, 449)",1,0
"(122, 330)",1,1
"(198, 474)",1,1
"(26, 314)",1,1
"(180, 258)",1,1
"(78, 402)",1,1
"(6, 264)",1,1
"(117, 353)",1,1
"(53, 267)",1,1
"(201, 345)",1,1
"(126, 243)",1,1
"(98, 454)",1,1
"(209, 300)",1,1
"(136, 330)",1,1
"(197, 292)",1,1
"(208, 459)",1,1
"(73, 293)",1,1
"(170, 323)",1,0
"(176, 339)",1,0
"(166, 474)",1,1
"(79, 438)",1,1
"(53, 311)",1,1
"(142, 352)",1,1
"(150, 438)",1,1
"(35, 330)",1,1
"(8, 438)",1,1
"(27, 438)",1,1
"(8, 484)",1,1
"(76, 439)",1,1
"(54, 372)",1,1
"(210, 303)",1,1
"(48, 312)",1,1
"(90, 308)",1,1
"(93, 318)",1,1
"(45, 264)",1,1
"(92, 297)",1,1
"(150, 353)",1,1
"(156, 353)",1,1
"(30, 229)",1,1
"(193, 314)",1,1
"(182, 316)",1,1
"(72, 412)",1,1
"(36, 487)",1,1
"(209, 381)",1,0
"(212, 402)",1,1
"(8, 384)",1,1
"(110, 264)",1,1
"(79, 245)",1,1
"(45, 397)",1,1
"(76, 293)",1,1
"(119, 264)",1,1
"(142, 330)",1,1
"(106, 292)",1,1
"(92, 410)",1,1
"(182, 255)",1,1
"(214, 465)",1,1
"(70, 357)",1,1
"(103, 312)",1,1
"(13, 413)",1,1
"(150, 330)",1,0
"(116, 315)",1,0
"(209, 301)",1,1
"(1, 374)",1,0
"(208, 406)",1,1
"(12, 268)",1,1
"(138, 233)",1,1
"(131, 247)",1,1
"(124, 312)",1,1
"(70, 474)",1,1
