pairs,true,predict
"(93, 352)",1,1
"(179, 407)",1,0
"(30, 233)",1,1
"(120, 303)",1,1
"(107, 294)",1,1
"(79, 261)",1,1
"(123, 438)",1,1
"(192, 412)",1,1
"(109, 372)",1,1
"(25, 293)",1,1
"(150, 229)",1,1
"(8, 364)",1,1
"(165, 257)",1,0
"(217, 432)",1,1
"(108, 234)",1,1
"(140, 485)",1,1
"(60, 374)",1,1
"(74, 290)",1,1
"(80, 240)",1,1
"(159, 478)",1,1
"(135, 312)",1,1
"(139, 265)",1,0
"(192, 294)",1,1
"(34, 265)",1,0
"(178, 348)",1,1
"(173, 437)",1,1
"(126, 245)",1,1
"(90, 333)",1,1
"(8, 453)",1,1
"(152, 242)",1,1
"(135, 330)",1,1
"(172, 273)",1,1
"(111, 248)",1,1
"(55, 485)",1,0
"(98, 259)",1,1
"(111, 273)",1,1
"(209, 404)",1,1
"(41, 406)",1,1
"(118, 359)",1,1
"(175, 437)",1,1
"(147, 401)",1,1
"(167, 391)",1,1
"(130, 437)",1,1
"(8, 297)",1,1
"(185, 432)",1,1
"(199, 296)",1,1
"(59, 248)",1,1
"(51, 229)",1,1
"(189, 273)",1,1
"(192, 317)",1,1
"(46, 449)",1,1
"(85, 255)",1,1
"(185, 264)",1,1
"(106, 465)",1,1
"(175, 412)",1,1
"(85, 271)",1,1
"(171, 269)",1,0
"(20, 229)",1,0
"(94, 353)",1,1
"(21, 268)",1,0
"(192, 299)",1,1
"(36, 359)",1,1
"(65, 406)",1,0
"(93, 437)",1,1
"(93, 247)",1,1
"(98, 419)",1,1
"(76, 428)",1,1
"(138, 242)",1,1
"(36, 225)",1,1
"(104, 350)",1,0
"(151, 317)",1,1
"(118, 293)",1,1
"(87, 245)",1,1
"(80, 412)",1,1
"(101, 308)",1,1
"(199, 233)",1,1
"(54, 437)",1,1
"(118, 403)",1,1
"(150, 375)",1,1
"(15, 351)",1,1
"(95, 401)",1,1
"(27, 220)",1,1
"(20, 468)",1,1
"(73, 277)",1,1
"(192, 264)",1,1
"(79, 225)",1,1
"(129, 437)",1,1
"(86, 404)",1,1
"(26, 353)",1,1
"(175, 329)",1,0
"(89, 356)",1,1
"(79, 240)",1,1
"(36, 301)",1,1
"(12, 316)",1,1
"(89, 348)",1,0
"(73, 305)",1,1
"(173, 406)",1,1
"(167, 419)",1,1
"(198, 357)",1,1
"(170, 335)",1,1
"(200, 437)",1,1
"(87, 274)",1,1
"(72, 454)",1,1
"(102, 437)",1,1
"(79, 437)",1,1
"(21, 449)",1,1
"(182, 487)",1,1
"(127, 241)",1,1
"(82, 225)",1,1
"(176, 378)",1,1
"(13, 294)",1,1
"(76, 419)",1,1
"(53, 241)",1,1
"(76, 437)",1,1
"(72, 256)",1,1
"(177, 359)",1,1
"(63, 438)",1,0
"(36, 454)",1,1
"(140, 229)",1,1
"(98, 308)",1,1
"(79, 478)",1,1
"(138, 474)",1,1
"(208, 368)",1,1
"(200, 295)",1,1
"(80, 292)",1,1
"(173, 353)",1,1
"(140, 267)",1,1
"(80, 312)",1,1
"(79, 268)",1,1
"(208, 474)",1,1
"(170, 294)",1,1
"(23, 474)",1,1
"(200, 474)",1,1
"(35, 357)",1,1
"(180, 438)",1,1
"(90, 241)",1,1
"(100, 474)",1,1
"(90, 437)",1,1
"(131, 317)",1,1
"(118, 292)",1,1
"(197, 326)",1,1
"(103, 317)",1,1
"(199, 438)",1,1
"(80, 268)",1,1
"(170, 233)",1,1
"(25, 278)",1,1
"(3, 331)",1,1
"(53, 296)",1,1
"(101, 225)",1,1
"(28, 233)",1,1
"(119, 261)",1,0
"(207, 229)",1,1
"(111, 405)",1,1
"(216, 454)",1,0
"(28, 405)",1,1
"(71, 459)",1,1
"(41, 268)",1,1
"(159, 225)",1,1
"(79, 314)",1,1
"(199, 301)",1,1
"(184, 333)",1,1
"(208, 405)",1,1
"(41, 487)",1,1
"(69, 245)",1,1
"(7, 343)",1,1
"(70, 308)",1,1
"(27, 463)",1,0
"(208, 324)",1,1
"(131, 233)",1,1
"(50, 303)",1,1
"(170, 302)",1,0
"(184, 348)",1,1
"(102, 480)",1,1
"(49, 454)",1,1
"(41, 397)",1,1
"(134, 372)",1,1
"(79, 234)",1,1
"(118, 312)",1,1
"(1, 401)",1,1
"(111, 293)",1,1
"(160, 372)",1,1
"(97, 264)",1,1
"(76, 256)",1,1
"(131, 480)",1,1
"(24, 421)",1,1
